Work,Intersection,Authors
What's Our Problem? A Self-Help Book for Societies, Entrypoint for insights into society and mind, Tim Urban
Social Identity Theory, , Henri Tajfel; John Turner
Identity Crisis Theory, , Erik Erikson; James Marcia
The Myth of Normal: Trauma Illness and Healing in a Toxic Culture | When the Body Says No: The Cost of Hidden Stress,, Gabor Maté
Sapiens: A Brief History of Humankind | Homo Deus: A Brief History of Tomorrow, , Yuval Harari
Structure Agency and the Internal Conversation, , Margaret Archer
Understanding Media: The Extensions of Man, , Marshall McLuhan
Thinking in Systems, , Donella Meadows
The Systems View of Life, , Fritjof Capra; Pier Luigi Luisi
The Myth of Mental Illness: Foundations of a Theory of Personal Conduct, , Thomas Szasz
Cognitive Dissonance Theory, , Leon Festinger
Cognitive Bias Codex, , Buster Benson; John Manoogian
Conflict Escalation Model, , Friedrich Glasl
